date,open,close,Name
2017-06-21,170.61,169.62,BRK.B
2017-06-22,169.33,168.32,BRK.B
2017-06-23,169.27,167.22,BRK.B
2017-06-26,167.8,167.49,BRK.B
2017-06-27,167.72,167.35,BRK.B
2017-06-28,167.93,169.89,BRK.B
2017-06-29,170.68,169.3,BRK.B
2017-06-30,170.01,169.37,BRK.B
2017-07-03,170.4,171.8,BRK.B
2017-07-05,172.06,171.85,BRK.B
2017-07-06,171.56,170.2,BRK.B
2017-07-07,170.84,171.14,BRK.B
2017-07-10,170.61,170.25,BRK.B
2017-07-11,169.94,169.24,BRK.B
2017-07-12,169.79,169.92,BRK.B
2017-07-13,170.06,169.69,BRK.B
2017-07-14,168.9,169.47,BRK.B
2017-07-17,169.44,170.16,BRK.B
2017-07-18,170.04,170.31,BRK.B
2017-07-19,170.665,171.2,BRK.B
2017-07-20,171.33,171.33,BRK.B
2017-07-21,171.57,171.34,BRK.B
2017-07-24,171.5,171.37,BRK.B
2017-07-25,172.15,172.94,BRK.B
2017-07-26,173.0,173.02,BRK.B
2017-07-27,173.17,173.05,BRK.B
2017-07-28,173.06,174.0,BRK.B
2017-07-31,174.7,174.97,BRK.B
2017-08-01,175.93,176.29,BRK.B
2017-08-02,176.29,177.85,BRK.B
2017-08-03,177.5,178.99,BRK.B
2017-08-04,179.8,179.92,BRK.B
2017-08-07,177.04,178.04,BRK.B
2017-08-08,177.71,176.43,BRK.B
2017-08-09,175.5,178.06,BRK.B
2017-08-10,177.13,176.36,BRK.B
2017-08-11,176.32,175.34,BRK.B
2017-08-14,176.75,177.29,BRK.B
2017-08-15,177.74,177.47,BRK.B
2017-08-16,178.2,178.54,BRK.B
2017-08-17,178.25,177.16,BRK.B
2017-08-18,176.57,177.56,BRK.B
2017-08-21,177.62,178.34,BRK.B
2017-08-22,178.5,180.45,BRK.B
2017-08-23,179.25,179.98,BRK.B
2017-08-24,179.98,178.43,BRK.B
2017-08-25,179.0,179.6,BRK.B
2017-08-28,179.77,178.7,BRK.B
2017-08-29,177.72,178.62,BRK.B
2017-08-30,178.71,180.35,BRK.B
2017-08-31,180.35,181.16,BRK.B
2017-09-01,181.6,180.73,BRK.B
2017-09-05,180.29,176.98,BRK.B
2017-09-06,177.35,176.79,BRK.B
2017-09-07,177.05,173.99,BRK.B
2017-09-08,173.9,175.5,BRK.B
2017-09-11,177.75,177.87,BRK.B
2017-09-12,178.0,178.63,BRK.B
2017-09-13,177.76,178.92,BRK.B
2017-09-14,178.8,178.57,BRK.B
2017-09-15,179.24,179.89,BRK.B
2017-09-18,180.5,181.47,BRK.B
2017-09-19,181.5,183.01,BRK.B
2017-09-20,183.3,183.82,BRK.B
2017-09-21,183.32,183.16,BRK.B
2017-09-22,182.63,181.86,BRK.B
2017-09-25,181.99,182.52,BRK.B
2017-09-26,182.55,181.86,BRK.B
2017-09-27,182.87,183.27,BRK.B
2017-09-28,183.4,183.21,BRK.B
2017-09-29,183.59,183.32,BRK.B
2017-10-02,183.45,185.41,BRK.B
2017-10-03,185.6,185.67,BRK.B
2017-10-04,186.2,185.83,BRK.B
2017-10-05,186.17,187.12,BRK.B
2017-10-06,187.2,187.43,BRK.B
2017-10-09,187.5,187.5,BRK.B
2017-10-10,187.46,188.0,BRK.B
2017-10-11,187.4,187.46,BRK.B
2017-10-12,187.7,186.3,BRK.B
2017-10-13,186.77,187.37,BRK.B
2017-10-16,188.0,187.96,BRK.B
2017-10-17,187.96,187.39,BRK.B
2017-10-18,187.75,187.85,BRK.B
2017-10-19,187.16,187.21,BRK.B
2017-10-20,187.75,189.04,BRK.B
2017-10-23,189.18,189.39,BRK.B
2017-10-24,189.92,189.78,BRK.B
2017-10-25,189.83,188.8,BRK.B
2017-10-26,189.65,188.61,BRK.B
2017-10-27,188.32,188.59,BRK.B
2017-10-30,188.02,187.85,BRK.B
2017-10-31,188.06,186.94,BRK.B
2017-11-01,188.1,187.17,BRK.B
2017-11-02,186.75,188.61,BRK.B
2017-11-03,188.13,187.27,BRK.B
2017-11-06,186.1,186.68,BRK.B
2017-11-07,187.23,186.3,BRK.B
2017-11-08,186.31,184.6,BRK.B
2017-11-09,183.34,184.49,BRK.B
2017-11-10,183.84,183.68,BRK.B
2017-11-13,183.16,184.4,BRK.B
2017-11-14,183.66,183.34,BRK.B
2017-11-15,182.13,181.81,BRK.B
2017-11-16,182.21,182.05,BRK.B
2017-11-17,181.7,181.06,BRK.B
2017-11-20,181.43,181.63,BRK.B
2017-11-21,181.78,183.18,BRK.B
2017-11-22,183.78,182.56,BRK.B
2017-11-24,182.66,182.36,BRK.B
2017-11-27,182.74,183.49,BRK.B
2017-11-28,184.1,187.54,BRK.B
2017-11-29,188.2,189.85,BRK.B
2017-11-30,190.35,193.01,BRK.B
2017-12-01,193.59,194.56,BRK.B
2017-12-04,196.18,196.96,BRK.B
2017-12-05,197.77,196.07,BRK.B
2017-12-06,195.79,196.01,BRK.B
2017-12-07,195.91,196.34,BRK.B
2017-12-08,196.82,196.44,BRK.B
2017-12-11,196.63,196.7,BRK.B
2017-12-12,197.0,199.07,BRK.B
2017-12-13,198.56,197.4,BRK.B
2017-12-14,197.94,196.66,BRK.B
2017-12-15,198.27,197.78,BRK.B
2017-12-18,199.15,199.34,BRK.B
2017-12-19,200.455,197.91,BRK.B
2017-12-20,199.41,197.79,BRK.B
2017-12-21,198.76,198.89,BRK.B
2017-12-22,199.15,197.92,BRK.B
2017-12-26,197.97,197.57,BRK.B
2017-12-27,197.5,198.69,BRK.B
2017-12-28,199.34,199.56,BRK.B
2017-12-29,200.0,198.22,BRK.B
2018-01-02,198.87,197.22,BRK.B
2018-01-03,197.0,199.79,BRK.B
2018-01-04,200.9,200.69,BRK.B
2018-01-05,201.0,201.42,BRK.B
2018-01-08,201.15,202.74,BRK.B
2018-01-09,203.34,203.02,BRK.B
2018-01-10,203.0,205.61,BRK.B
2018-01-11,205.96,206.69,BRK.B
2018-01-12,207.27,210.16,BRK.B
2018-01-16,213.12,210.29,BRK.B
2018-01-17,211.92,214.16,BRK.B
2018-01-18,215.67,213.19,BRK.B
2018-01-19,213.45,213.25,BRK.B
2018-01-22,213.29,215.97,BRK.B
2018-01-23,216.04,215.56,BRK.B
2018-01-24,216.12,215.61,BRK.B
2018-01-25,216.24,215.1,BRK.B
2018-01-26,215.52,217.19,BRK.B
2018-01-29,217.15,215.46,BRK.B
2018-01-30,214.97,214.41,BRK.B
2018-01-31,214.99,214.38,BRK.B
2018-02-01,214.49,217.25,BRK.B
2018-02-02,216.16,209.12,BRK.B
2018-02-05,205.49,196.8,BRK.B
2018-02-06,193.15,201.24,BRK.B
2018-02-07,202.0,200.37,BRK.B
2015-01-02,78.58,78.45,FB
2015-01-05,77.98,77.19,FB
2015-01-06,77.23,76.15,FB
2015-01-07,76.76,76.15,FB
2015-01-08,76.74,78.175,FB
2015-01-09,78.2,77.74,FB
2015-01-12,77.84,76.72,FB
2015-01-13,77.23,76.45,FB
2015-01-14,76.42,76.28,FB
2015-01-15,76.4,74.05,FB
2015-01-16,74.04,75.18,FB
2015-01-20,75.72,76.24,FB
2015-01-21,76.16,76.74,FB
2015-01-22,77.17,77.65,FB
2015-01-23,77.65,77.83,FB
2015-01-26,77.98,77.495,FB
2015-01-27,76.71,75.78,FB
2015-01-28,76.9,76.24,FB
2015-01-29,76.85,78.0,FB
2015-01-30,78.0,75.91,FB
2015-02-02,76.11,74.99,FB
2015-02-03,75.19,75.4,FB
